"","grCat","grSum","spCat","genspDf$spCat"
"304","flabello-meandroid?/phaceloid?",0,"NA (NA%):  (%)","NA NA (100%)"
"305","frond medium",1,"Stylophora (100%)","Stylophora pistillata (100%)"
"306","frond open",1,"Isopora (100%)","Isopora palifera (100%)"
"307","frond open bush small",1,"Pocillopora (100%)","Pocillopora verrucosa (100%)"
"308","frond stout",1,"Stylophora (100%)","Stylophora pistillata (100%)"
"309","frond thin/plate",0,"NA (NA%):  (%)","NA NA (100%)"
"310","frond?",0,"NA (NA%):  (%)","NA NA (100%)"
"311","laminar/whorl",1,"Coscinaraea (100%)","Coscinaraea NA (100%)"
"312","massive/submassive",0,"NA (NA%):  (%)","NA NA (100%)"
"313","massive/vase",0,"NA (NA%):  (%)","NA NA (100%)"
"314","massive/vase?",0,"NA (NA%):  (%)","NA NA (100%)"
"315","Missing transect:Missing transect",1,"Acropora (100%)","Acropora echinata (100%)"
"316","nodules?",0,"NA (NA%):  (%)","NA NA (100%)"
"317","nodules/submassive",1,"Cyphastrea (100%)","Cyphastrea microphthalma (100%)"
"318","phaceloid fragment",1,"Lobophyllia (100%)","Lobophyllia NA (100%)"
"319","phaceloid?/solitary?",0,"NA (NA%):  (%)","NA NA (100%)"
"320","phaceloid/submassive",1,"Galaxea (100%)","Galaxea NA (100%)"
"321","plate 2-tiered",1,"Acropora (100%)","Acropora hyacinthus (100%)"
"322","plate anastomosing",1,"Acropora (100%)","Acropora NA (100%)"
"323","plate anastomosing dense branches",1,"Acropora (100%)","Acropora NA (100%)"
"324","plate large",1,"Acropora (100%)","Acropora hyacinthus (100%)"
"325","plate thick/vase?",1,"Acropora (100%)","Acropora NA (100%)"
"326","plate/base",1,"Acropora (100%)","Acropora NA (100%)"
"327","plate/vase thick",1,"Acropora (100%)","Acropora NA (100%)"
"328","plate/vase?",1,"Acropora (100%)","Acropora NA (100%)"
"329","tight bush/plate",1,"Acropora (100%)","Acropora selago (100%)"
"330","vase thick",1,"Acropora (100%)","Acropora NA (100%)"
"331","vase?/base?",1,"Acropora (100%)","Acropora NA (100%)"
