"","Var1","Var2","Freq"
"796","massive_columnar_submassive","Platygyra contorta",1
"804","unknown","Platygyra daedalea",1
"816","unknown","Platygyra NA",1
"853","branching","Pocillopora meandrina",1
"862","massive_columnar_submassive","Pocillopora NA",1
"873","encrusting","Porites annae",1
"875","table_plate_laminar","Porites annae",1
"877","branching","Porites cumulatus",1
"892","massive_columnar_submassive","Porites lichen",1
"896","branching_stout","Porites NA",1
"901","branching","Porites nigrescens",1
"902","branching_stout","Porites nigrescens",1
"905","table_plate_laminar","Porites nigrescens",1
"909","encrusting","Porites rus",1
"916","massive_columnar_submassive","Porites solida",1
"918","unknown","Porites solida",1
"923","table_plate_laminar","Porites vaughani",1
"933","encrusting","Psammocora haimiana",1
"940","massive_columnar_submassive","Psammocora profoundacella",1
"951","encrusting","Seriatopora NA",1
"969","encrusting","Stylophora pistillata",1
"971","table_plate_laminar","Stylophora pistillata",1
"983","table_plate_laminar","Turbinaria NA",1
"984","unknown","Turbinaria NA",1
